Material,Su,Sy,A5,Bhn,E,G,mu,Ro,categoria
ANSI Steel SAE 1015 as-rolled,421,314,39.0,126.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1015 normalized,424,324,37.0,121.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1015 annealed,386,284,37.0,111.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1020 as-rolled,448,331,36.0,143.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1020 normalized,441,346,35.8,131.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1020 annealed,395,295,36.5,111.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1022 as-rolled,503,359,35.0,149.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1022 normalized,483,359,34.0,143.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1022 annealed,450,317,35.0,137.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1030 as-rolled,552,345,32.0,179.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1030 normalized,517,345,32.0,149.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1030 annealed,464,341,31.0,126.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1030 tempered at 400 F,848,648,17.0,495.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1040 as-rolled,621,414,25.0,201.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1040 normalized,590,374,28.0,170.0,207000,79000,0.3,7860,3
ANSI Steel SAE 1040 annealed,519,353,30.0,149.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1040 tempered at 400 F,779,593,19.0,262.0,207000,79000,0.3,7860,3
ANSI Steel SAE 1050 as-rolled,724,414,20.0,229.0,207000,79000,0.3,7860,4
ANSI Steel SAE 1050 normalized,748,427,20.0,217.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1050 annealed,636,365,23.7,187.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1050 tempered at 600 F,979,724,14.0,321.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1060 as-rolled,814,483,17.0,241.0,207000,79000,0.3,7860,4
ANSI Steel SAE 1060 normalized,776,421,18.0,229.0,207000,79000,0.3,7860,4
ANSI Steel SAE 1060 annealed,626,372,22.5,179.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1060 tempered at 600 F,1103,779,13.0,321.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1080 as-rolled,965,586,12.0,293.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1080 normalized,1010,524,11.0,293.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1080 annealed,615,376,24.7,174.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1080 tempered at 600 F,1303,979,12.0,388.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1095 as-rolled,965,572,9.0,293.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1095 normalized,1014,500,9.5,293.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1095 annealed,657,379,13.0,192.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1095 tempered at 400 F,1289,827,10.0,401.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1117 as-rolled,487,305,33.0,143.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1117 normalized,467,303,33.5,137.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1117 annealed,429,279,32.8,121.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1118 as-rolled,521,316,32.0,149.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1118 normalized,477,319,33.5,143.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1118 annealed,450,284,34.5,131.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1137 as-rolled,627,379,28.0,192.0,207000,79000,0.3,7860,3
ANSI Steel SAE 1137 normalized,669,396,22.5,197.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1137 annealed,584,345,26.8,174.0,207000,79000,0.3,7860,4
ANSI Steel SAE 1137 tempered at 400 F,1082,938,5.0,352.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1141 as-rolled,676,359,22.0,192.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1141 normalized,707,405,22.7,201.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1141 annealed,598,353,25.5,163.0,207000,79000,0.3,7860,4
ANSI Steel SAE 1141 tempered at 400 F,1634,1213,6.0,461.0,207000,79000,0.3,7860,1
ANSI Steel SAE 1144 as-rolled,703,421,21.0,212.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1144 normalized,667,400,21.0,197.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1144 annealed,584,346,24.8,167.0,207000,79000,0.3,7860,5
ANSI Steel SAE 1144 tempered at 400 F,876,627,17.0,277.0,207000,79000,0.3,7860,1
